word	sentiment	lexicon
arduous	negative	nrc
argue	negative	nrc
argument	negative	nrc
argumentative	negative	nrc
arid	negative	nrc
aristocracy	positive	nrc
aristocratic	positive	nrc
armaments	negative	nrc
armed	negative	nrc
armed	positive	nrc
armor	positive	nrc
aroma	positive	nrc
arouse	positive	nrc
arraignment	negative	nrc
array	positive	nrc
arrears	negative	nrc
arrest	negative	nrc
arrogance	negative	nrc
arrogant	negative	nrc
arsenic	negative	nrc
arson	negative	nrc
art	positive	nrc
articulate	positive	nrc
articulation	positive	nrc
artillery	negative	nrc
artisan	positive	nrc
artiste	positive	nrc
artistic	positive	nrc
ascendancy	positive	nrc
ascent	positive	nrc
ash	negative	nrc
ashamed	negative	nrc
ashes	negative	nrc
aspiration	positive	nrc
aspire	positive	nrc
aspiring	positive	nrc
ass	negative	nrc
assail	negative	nrc
assailant	negative	nrc
assassin	negative	nrc
assassinate	negative	nrc
assassination	negative	nrc
assault	negative	nrc
assembly	positive	nrc
assent	positive	nrc
asserting	positive	nrc
assets	positive	nrc
asshole	negative	nrc
assist	positive	nrc
assistance	positive	nrc
associate	positive	nrc
assuage	positive	nrc
assurance	positive	nrc
assured	positive	nrc
astonishingly	positive	nrc
astonishment	positive	nrc
astray	negative	nrc
astringent	negative	nrc
astrologer	positive	nrc
astronaut	positive	nrc
astronomer	positive	nrc
astute	positive	nrc
asylum	negative	nrc
atheism	negative	nrc
atherosclerosis	negative	nrc
athlete	positive	nrc
athletic	positive	nrc
atom	positive	nrc
atone	positive	nrc
atonement	positive	nrc
atrocious	negative	nrc
atrocity	negative	nrc
atrophy	negative	nrc
attachment	positive	nrc
attack	negative	nrc
attacking	negative	nrc
attainable	positive	nrc
attainment	positive	nrc
attendant	positive	nrc
attention	positive	nrc
attentive	positive	nrc
attenuated	negative	nrc
attenuation	negative	nrc
attest	positive	nrc
attorney	positive	nrc
attraction	positive	nrc
attractiveness	positive	nrc
audacity	negative	nrc
augment	positive	nrc
august	positive	nrc
aunt	positive	nrc
aura	positive	nrc
auspicious	positive	nrc
austere	negative	nrc
austerity	negative	nrc
authentic	positive	nrc
authenticity	positive	nrc
author	positive	nrc
authoritative	positive	nrc
authority	positive	nrc
authorization	positive	nrc
authorized	positive	nrc
autocratic	negative	nrc
autopsy	negative	nrc
avalanche	negative	nrc
avarice	negative	nrc
avatar	positive	nrc
avenger	negative	nrc
averse	negative	nrc
aversion	negative	nrc
avoid	negative	nrc
avoidance	negative	nrc
award	positive	nrc
awful	negative	nrc
awkwardness	negative	nrc
awry	negative	nrc
ay	positive	nrc
aye	positive	nrc
babble	negative	nrc
babbling	negative	nrc
baboon	negative	nrc
baby	positive	nrc
baccalaureate	positive	nrc
backbone	positive	nrc
backward	negative	nrc
backwards	negative	nrc
backwater	negative	nrc
bacteria	negative	nrc
bacterium	negative	nrc
bad	negative	nrc
badger	negative	nrc
badly	negative	nrc
badness	negative	nrc
bailiff	negative	nrc
bait	negative	nrc
balance	positive	nrc
balanced	positive	nrc
bale	negative	nrc
balk	negative	nrc
ballad	positive	nrc
ballet	positive	nrc
ballot	positive	nrc
balm	negative	nrc
balm	positive	nrc
balsam	positive	nrc
ban	negative	nrc
bandit	negative	nrc
bane	negative	nrc
bang	negative	nrc
banger	negative	nrc
banish	negative	nrc
banished	negative	nrc
banishment	negative	nrc
bankrupt	negative	nrc
bankruptcy	negative	nrc
banquet	positive	nrc
banshee	negative	nrc
baptism	positive	nrc
baptismal	positive	nrc
barb	negative	nrc
barbarian	negative	nrc
barbaric	negative	nrc
barbarism	negative	nrc
bard	positive	nrc
bargain	positive	nrc
bark	negative	nrc
barred	negative	nrc
barren	negative	nrc
barricade	negative	nrc
barrier	negative	nrc
baseless	negative	nrc
basketball	positive	nrc
bastard	negative	nrc
bastion	positive	nrc
bath	positive	nrc
batter	negative	nrc
battered	negative	nrc
battery	negative	nrc
battle	negative	nrc
battled	negative	nrc
battlefield	negative	nrc
bawdy	negative	nrc
bayonet	negative	nrc
beam	positive	nrc
beaming	positive	nrc
bearer	negative	nrc
beast	negative	nrc
beastly	negative	nrc
beating	negative	nrc
beautification	positive	nrc
beautiful	positive	nrc
beautify	positive	nrc
beauty	positive	nrc
bedrock	positive	nrc
beer	positive	nrc
befall	negative	nrc
befitting	positive	nrc
befriend	positive	nrc
beg	negative	nrc
beggar	negative	nrc
begging	negative	nrc
behemoth	negative	nrc
beholden	negative	nrc
belated	negative	nrc
believing	positive	nrc
belittle	negative	nrc
belligerent	negative	nrc
belt	negative	nrc
bender	negative	nrc
benefactor	positive	nrc
beneficial	positive	nrc
benefit	positive	nrc
benevolence	positive	nrc
benign	positive	nrc
bereaved	negative	nrc
bereavement	negative	nrc
bereft	negative	nrc
berserk	negative	nrc
berth	positive	nrc
bestial	negative	nrc
betray	negative	nrc
betrayal	negative	nrc
betrothed	positive	nrc
betterment	positive	nrc
beverage	positive	nrc
beware	negative	nrc
bewildered	negative	nrc
bias	negative	nrc
biased	negative	nrc
biblical	positive	nrc
bickering	negative	nrc
bier	negative	nrc
bigot	negative	nrc
bigoted	negative	nrc
bile	negative	nrc
bilingual	positive	nrc
biopsy	negative	nrc
birch	negative	nrc
birth	positive	nrc
birthday	positive	nrc
birthplace	negative	nrc
bitch	negative	nrc
bite	negative	nrc
bitterly	negative	nrc
bitterness	negative	nrc
bizarre	negative	nrc
black	negative	nrc
blackjack	negative	nrc
blackmail	negative	nrc
blackness	negative	nrc
blame	negative	nrc
blameless	positive	nrc
bland	negative	nrc
blasphemous	negative	nrc
blasphemy	negative	nrc
blast	negative	nrc
blatant	negative	nrc
blather	negative	nrc
blaze	negative	nrc
bleak	negative	nrc
bleeding	negative	nrc
blemish	negative	nrc
bless	positive	nrc
blessed	positive	nrc
blessing	positive	nrc
blessings	positive	nrc
blight	negative	nrc
blighted	negative	nrc
blind	negative	nrc
blinded	negative	nrc
blindly	negative	nrc
blindness	negative	nrc
bliss	positive	nrc
blissful	positive	nrc
blister	negative	nrc
bloated	negative	nrc
blob	negative	nrc
blockade	negative	nrc
bloodless	positive	nrc
bloodshed	negative	nrc
bloodthirsty	negative	nrc
bloody	negative	nrc
bloom	positive	nrc
blossom	positive	nrc
blot	negative	nrc
blower	negative	nrc
blowout	negative	nrc
blues	negative	nrc
bluff	negative	nrc
blunder	negative	nrc
blur	negative	nrc
blurred	negative	nrc
blush	negative	nrc
boast	negative	nrc
boast	positive	nrc
boasting	negative	nrc
bodyguard	positive	nrc
bog	negative	nrc
bogus	negative	nrc
boil	negative	nrc
boilerplate	negative	nrc
boisterous	negative	nrc
boisterous	positive	nrc
bold	positive	nrc
boldness	positive	nrc
bolster	positive	nrc
bomb	negative	nrc
bombard	negative	nrc
bombardment	negative	nrc
bombed	negative	nrc
bonanza	positive	nrc
bondage	negative	nrc
bonds	negative	nrc
bonne	positive	nrc
bonus	positive	nrc
boo	negative	nrc
booby	negative	nrc
bookish	positive	nrc
bookshop	positive	nrc
bookworm	negative	nrc
bookworm	positive	nrc
boon	positive	nrc
booze	negative	nrc
bore	negative	nrc
boredom	negative	nrc
boring	negative	nrc
borrower	negative	nrc
bother	negative	nrc
bothering	negative	nrc
bottom	negative	nrc
bound	negative	nrc
bountiful	positive	nrc
bounty	positive	nrc
bouquet	positive	nrc
bout	negative	nrc
bovine	negative	nrc
boy	negative	nrc
boycott	negative	nrc
brag	negative	nrc
brains	positive	nrc
brandy	negative	nrc
bravado	negative	nrc
bravery	positive	nrc
brawl	negative	nrc
brazen	negative	nrc
breach	negative	nrc
breakdown	negative	nrc
breakfast	positive	nrc
breakneck	negative	nrc
breakup	negative	nrc
bribe	negative	nrc
bribery	negative	nrc
bridal	positive	nrc
bride	positive	nrc
bridegroom	positive	nrc
bridesmaid	positive	nrc
brigade	negative	nrc
brighten	positive	nrc
brightness	positive	nrc
brilliant	positive	nrc
brimstone	negative	nrc
bristle	negative	nrc
broadside	negative	nrc
brocade	positive	nrc
broil	negative	nrc
broke	negative	nrc
broken	negative	nrc
brothel	negative	nrc
brother	positive	nrc
brotherhood	positive	nrc
brotherly	positive	nrc
bruise	negative	nrc
brunt	negative	nrc
brutal	negative	nrc
brutality	negative	nrc
brute	negative	nrc
buck	negative	nrc
buck	positive	nrc
buddy	positive	nrc
buffet	negative	nrc
bug	negative	nrc
bugaboo	negative	nrc
build	positive	nrc
building	positive	nrc
bulbous	negative	nrc
bulldog	positive	nrc
bulletproof	positive	nrc
bully	negative	nrc
bum	negative	nrc
bummer	negative	nrc
buoy	positive	nrc
burdensome	negative	nrc
bureaucracy	negative	nrc
bureaucrat	negative	nrc
burglar	negative	nrc
burglary	negative	nrc
burial	negative	nrc
buried	negative	nrc
burke	negative	nrc
burnt	negative	nrc
buss	positive	nrc
busted	negative	nrc
butcher	negative	nrc
butler	positive	nrc
butt	negative	nrc
buttery	positive	nrc
buxom	positive	nrc
buzz	positive	nrc
buzzed	negative	nrc
cab	positive	nrc
cabal	negative	nrc
cabinet	positive	nrc
cacophony	negative	nrc
cad	negative	nrc
cadaver	negative	nrc
cafe	positive	nrc
cage	negative	nrc
calculating	negative	nrc
calculator	positive	nrc
calf	positive	nrc
callous	negative	nrc
calls	negative	nrc
calm	positive	nrc
campaigning	negative	nrc
canary	positive	nrc
cancel	negative	nrc
cancer	negative	nrc
candid	positive	nrc
candidate	positive	nrc
candied	positive	nrc
canker	negative	nrc
cannibal	negative	nrc
cannibalism	negative	nrc
cannon	negative	nrc
capitalist	positive	nrc
captain	positive	nrc
captivate	positive	nrc
captivating	positive	nrc
captive	negative	nrc
captivity	negative	nrc
captor	negative	nrc
capture	negative	nrc
carcass	negative	nrc
carcinoma	negative	nrc
cardiomyopathy	negative	nrc
career	positive	nrc
careful	positive	nrc
carefully	positive	nrc
carelessness	negative	nrc
caress	positive	nrc
caretaker	positive	nrc
caricature	negative	nrc
caries	negative	nrc
carnage	negative	nrc
carnal	negative	nrc
carnivorous	negative	nrc
carol	positive	nrc
cartel	negative	nrc
cascade	positive	nrc
case	negative	nrc
cash	positive	nrc
casket	negative	nrc
caste	negative	nrc
casualty	negative	nrc
cataract	negative	nrc
catastrophe	negative	nrc
categorical	positive	nrc
cater	positive	nrc
cathartic	positive	nrc
cathedral	positive	nrc
catheter	negative	nrc
caution	negative	nrc
cautious	positive	nrc
cautiously	positive	nrc
cede	negative	nrc
celebrated	positive	nrc
celebrating	positive	nrc
celebration	positive	nrc
celebrity	negative	nrc
celebrity	positive	nrc
celestial	positive	nrc
cemetery	negative	nrc
censor	negative	nrc
censure	negative	nrc
center	positive	nrc
centurion	positive	nrc
cerebral	positive	nrc
ceremony	positive	nrc
certainty	positive	nrc
cess	negative	nrc
cessation	negative	nrc
chaff	negative	nrc
chafing	negative	nrc
chagrin	negative	nrc
chairman	positive	nrc
chairwoman	positive	nrc
challenge	negative	nrc
champion	positive	nrc
chant	positive	nrc
chaos	negative	nrc
chaotic	negative	nrc
charade	negative	nrc
chargeable	negative	nrc
charger	positive	nrc
charitable	positive	nrc
charity	positive	nrc
charm	positive	nrc
charmed	negative	nrc
charmed	positive	nrc
charming	positive	nrc
chase	negative	nrc
chastisement	negative	nrc
chastity	positive	nrc
chattering	positive	nrc
chatty	negative	nrc
cheap	negative	nrc
cheat	negative	nrc
checklist	positive	nrc
cheer	positive	nrc
cheerful	positive	nrc
cheerfulness	positive	nrc
cheering	positive	nrc
cheery	positive	nrc
cheesecake	negative	nrc
chemist	positive	nrc
cherish	positive	nrc
cherry	positive	nrc
chicane	negative	nrc
chieftain	positive	nrc
child	positive	nrc
childhood	positive	nrc
childish	negative	nrc
chilly	negative	nrc
chirp	positive	nrc
chisel	positive	nrc
